ID,decimalLongitude,decimalLatitude,Log.S.AllGrp,landsdele,Geology,NatDensBasMp,Dis2Cost,HII,Slope30mAgg,PrecSea
27,10.8935071,55.73474604,2.624282096,Sjælland,Glaciofluvial,0.9565,275.422,15.31,7.278,19
28,10.89727399,55.74078685,2.352182518,Sjælland,Clayey Till,0.9361,275.422,15.4,5.028,19
29,11.20166968,55.7052192,2.409933123,Sjælland,Marine sand and clay,0.9235,3347.269,18,0.281,19.45
30,11.23581744,55.70366333,2.447158031,Sjælland,Marine sand and clay,0.6188,3189.304,18,1.259,20
31,11.27517684,55.7274892,2.367355921,Sjælland,Aeolian sand,0.8954,427.737,18,1.297,20.82
32,11.28307135,55.7360165,2.62324929,Sjælland,Aeolian sand,0.9794,392.242,26,1.686,21
33,11.42324653,55.83647445,2.348304863,Sjælland,Downwash sandy deposits,0.6132,361.928,26,2.884,22
34,11.43619382,55.82656523,2.620136055,Sjælland,Glaciofluvial,0.3166,1718.895,16,3.998,19.33
35,11.48720906,54.75457898,2.195899652,Sjælland,Clayey Till,0.2002,8425.885,43.34,1.95,19.8
36,11.5345545,55.31595569,2.176091259,Sjælland,Clayey Till,0.0358,11568.127,26,1.831,20
37,11.53621444,55.38019601,2.31386722,Sjælland,Clayey Till,0.4292,19219.439,22,2.65,18
39,11.54670581,55.37740238,2.567026366,Sjælland,Clayey Till,0.2719,18510.072,15.94,3.466,18.02
40,11.55167321,54.75036513,2.51054501,Sjælland,Clayey Till,0.9573,7536.02,28.37,3.111,19.98
41,11.55493636,54.75928616,2.536558443,Sjælland,Lake,0.219,6683.654,47,1.084,19
42,11.55686098,55.37993511,2.40654018,Sjælland,Clayey Till,0.5164,19767.398,15.82,4.45,19
43,11.59249883,55.39912891,2.532754379,Sjælland,Clayey Till,0.5793,22338.408,42.4,3.391,19.8
44,11.59410449,55.38369919,2.46686762,Sjælland,Clayey Till,0.9317,20483.639,22,2.865,20
47,11.775974,55.51610493,2.46834733,Sjælland,Clayey Till,0.7824,15841.326,22,3.871,21
48,11.80509545,54.78049188,2.428134794,Sjælland,Clayey Till,0.9416,1481.891,42,2.791,18.08
49,11.81138976,54.78619045,2.584331224,Sjælland,Clayey Till,0.9416,599.688,41.08,3.278,18.09
50,11.88381385,55.55263075,2.693726949,Sjælland,Freshwater deposits,0.9548,11211.459,18,5.657,19.54
51,11.88474626,55.56576665,2.564666064,Sjælland,Freshwater deposits,0.9221,9282.022,22.09,4.545,19
52,11.99150258,56.01851757,2.482873584,Hovedstaden,Aeolian sand,0.9498,623.574,35,1.122,22
53,11.99315223,56.02263786,2.389166084,Hovedstaden,Beach ridges,0.9498,1664.33,22,1.122,22
54,12.07340871,56.04420107,2.440909082,Hovedstaden,Aeolian sand,0.937,1664.33,22,3.853,22.04
55,12.10033259,56.02259609,2.58546073,Hovedstaden,Freshwater deposits,0.8516,4492.522,30,2.137,22.93
56,12.25085013,55.98726198,2.491361694,Hovedstaden,Glaciofluvial,0.6047,13220.553,30,2.684,23
58,12.27018454,55.0399262,2.480006943,Sjælland,Beach ridges,0.9072,758.825,10.35,1.529,19
59,12.27163111,55.96826784,2.5774918,Hovedstaden,Freshwater deposits,0.9018,15200.344,37.6,3.491,23.29
60,12.27208166,55.95692068,2.444044796,Hovedstaden,Glaciofluvial,0.899,14868.719,40.68,3.709,23.74
61,12.29278869,55.98460376,2.193124598,Hovedstaden,Glaciofluvial,0.931,14320.906,29,3.623,23.5
62,12.29951997,55.02428234,2.227886705,Sjælland,Clayey Till,0.2074,873.354,15.44,1.856,20
63,12.31617427,55.99989788,2.409933123,Hovedstaden,Freshwater deposits,0.9572,11738.438,26,2.872,21.86
