Fri. Sep. 18, 2020             LANDSAT 5                 Time: 19:21
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L2            Path/Row: 196 / 021

L0R Reference Image: L51KIS1084116090100_HDF.202180312
Acquisition Date: Apr 25, 1984

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
194   021   08-03-1999
195   021   05-08-2000, 07-23-2013
195   022   05-08-2000, 03-20-2014
196   020   05-15-2000, 03-11-2014
196   021   05-15-2000, 03-11-2014
196   022   05-15-2000, 03-11-2014
197   020   05-09-2001, 04-03-2014
197   021   05-09-2001, 04-06-2015


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

1950210589_01   55.609514   10.189514    41.940       4.141     0.704     3.856     1.661
1950210596_01   55.707890   11.221486    42.490       1.682     1.064     1.384     1.431
1950210600_01   56.327275   10.570613    44.305      -0.284    -4.286     0.733    -4.231
1950210606_01   56.095013   10.513001    40.383      -5.419    -1.361    -4.943    -2.599
1950210607_01   55.519349   10.479448    28.992       1.276     1.971     0.774     2.216
1950210615_01   56.163593   10.389038    31.983      -3.019    -0.843    -2.734    -1.529
1950210623_01   55.194833   11.303176    47.546       4.726     2.191     4.073     3.247
1950210625_01   55.258577   11.284669    56.647      -1.277     2.916    -1.929     2.530
1950210634_01   55.157693   10.929465    46.394      -3.851    -6.888    -2.111    -7.601
1950210637_01   55.254238   10.746621    65.581      -3.373    -4.505    -2.211    -5.173
1950210640_01   56.487711   10.689340    71.834       6.409     4.766     5.107     6.137
1950210642_01   55.944468   10.431701    58.243      -4.578     5.896    -5.836     4.649
1950210645_01   56.219110   10.437664    59.517       4.867    -3.804     5.623    -2.551
1950210646_01   55.189534   11.384884    43.007      -4.796     2.454    -5.238     1.249
1950210649_01   56.217311   10.709371    58.157      -0.155     4.553    -1.222     4.386
1950210650_01   56.193323   11.714158    49.276       7.664    -3.306     8.224    -1.407
1950210657_01   55.215365   10.881825    51.572      -4.792    -2.575    -4.045    -3.635
1950220012_01   55.077864   10.582657   104.349      -4.286     0.367    -4.248    -0.659
1950220017_01   55.396729   10.367023    53.385       2.030     2.751     1.321     3.152
1950220023_01   55.332975   11.144383    39.878       1.319     0.187     1.238     0.494
1950220135_01   55.406203   10.433685    62.239       2.462     0.409     2.294     0.979
1950220150_01   55.133719   10.113618    30.187       4.123     6.463     2.475     7.252
1950220167_01   55.206846   11.416209    38.089       3.534     5.192     2.206     5.880
1950220251_01   55.135176    9.977300    47.926       3.947     1.736     3.423     2.620
1950220270_01   55.293500   10.854904    39.822      -3.106     0.500    -3.134    -0.250
1950220330_01   55.239039    9.901265    51.216      -4.093    -4.987    -2.795    -5.811
1950220348_01   55.402414   10.127547   126.669      -1.257    -2.879    -0.541    -3.093
1950220375_01   55.163671   10.943575    40.854      -3.346    -6.226    -1.777    -6.838
1950220390_01   55.311606   10.814191    40.582      -1.815    -4.095    -0.795    -4.406
1950220395_01   55.189871   11.199361    37.487       4.125    -1.362     4.329    -0.346
1950220441_01   55.061334   10.683832    39.615       0.088     3.103    -0.648     3.034
1950220454_01   55.234073   10.649150    77.303       5.946    -2.946     6.471    -1.455
1950220457_01   55.229781   10.587138   116.347       7.132    -2.954     7.624    -1.181
1950220483_01   55.160117   10.931927    50.696      -5.065    -6.546    -3.371    -7.557
1950220541_01   55.387047   10.307865    71.441       0.118     6.787    -1.489     6.620
1950220542_01   55.206079   11.436352    37.761       3.638     2.142     3.027     2.942
1950220544_01   55.435570   10.117024   103.665       0.088     3.170    -0.664     3.099
1950220546_01   55.201660   11.401637    30.176       1.573     4.364     0.497     4.611
1950220554_01   55.466690   10.442483    46.474      -4.067    -5.287    -2.701    -6.096
1950220557_01   55.443577   10.481449    37.858       4.916     1.676     4.379     2.789
1950220561_01   55.335799   11.208235    44.645       5.293     1.979     4.674     3.174
1960200102_01   56.738271   10.104120    83.247       0.443     6.825    -1.172     6.735
1960200166_01   56.736097    9.858410    81.604       7.572     0.052     7.344     1.826
1960200270_01   56.741314   10.060076    49.672       4.712    -0.469     4.688     0.650
1960200276_01   56.714924   10.231909    41.282       1.273    -3.804     2.129    -3.398
1960200299_01   56.649236    9.799782    96.524      -1.667    -1.082    -1.365    -1.442
1960200335_01   56.695740    9.519570    79.855      -5.364    -3.388    -4.415    -4.550
1960200364_01   56.705873   10.328156    30.767       4.806    -0.838     4.866     0.313
1960200391_01   56.686357    9.753455    85.944      -6.455    -1.084    -6.017    -2.567
1960200411_01   56.665838    9.679725    80.013       7.954    -0.052     7.739     1.815
1960200418_01   56.679171    9.605421    56.485       4.623    -4.607     5.573    -3.392
1960200433_01   56.516333   10.710117    61.173      -2.847     6.249    -4.234     5.403
1960200473_01   56.499740   10.608999    77.496      -0.824    -6.252     0.668    -6.267
1960200474_01   56.670357   10.087532    71.220      -6.732    -0.594    -6.401    -2.157
1960200527_01   56.649478    9.939652    43.286       4.336    -0.626     4.359     0.409
1960200546_01   56.742065   10.057210    65.551      -1.908    -4.176    -0.874    -4.505
1960200612_01   56.503886   10.682297    55.692      -1.938     0.687    -2.045     0.212
1960200630_01   56.642365    9.552049    71.317       1.797    -3.834     2.646    -3.303
1960210011_01   55.385428   10.436750    51.381      -1.119     4.094    -2.054     3.711
1960210015_01   56.146637   10.186913    81.106       2.333     2.973     1.567     3.437
1960210018_01   55.659615   11.076829    51.554      -2.185     0.917    -2.339     0.374
1960210022_01   55.077855   10.582692    91.033      -4.301    -1.361    -3.854    -2.340
1960210028_01   55.672823    9.121219    87.544      -7.578     5.039    -8.549     3.106
1960210032_01   55.333016   11.144355    55.624       0.584    -0.115     0.595     0.027
1960210042_01   56.335540   10.014874    75.776       2.456    -3.014     3.094    -2.351
1960210055_01   56.453638   10.043789    47.524       6.042     5.308     4.622     6.577
1960210058_01   56.481684   10.558479    92.522      -3.656     4.999    -4.727     3.997
1960210077_01   56.164056   10.135831   109.717       5.971    -5.917     7.193    -4.342
1960210078_01   56.031077    9.927859    62.494       0.417    -6.033     1.826    -5.762
1960210085_01   56.316871   10.502305    32.494      -6.234     1.380    -6.381    -0.126
1960210088_01   56.159976    9.910637    99.411       3.847    -2.698     4.372    -1.716
1960210089_01   55.406489   10.433733    44.517      -0.903     0.109    -0.903    -0.108
1960210090_01   56.046221    9.039157   102.515      -7.209    -2.176    -6.489    -3.810
1960210095_01   55.801661    8.950139    92.354       5.352     4.668     4.095     5.795
1960210096_01   55.502172    9.577164    69.257       4.234    -3.345     4.902    -2.248
1960210098_01   56.730908   10.092234    90.884      -7.647     1.910    -7.878     0.062
1960210102_01   56.382059    9.671096    64.608       4.257     1.547     3.771     2.503
1960210103_01   56.125535   10.144828    47.587      -1.128    -2.160    -0.587    -2.364
1960210108_01   56.099764   10.219824   131.259      -5.124    -1.177    -4.700    -2.349
1960210116_01   55.998003    9.245969   112.230      -7.279    -5.192    -5.846    -6.757
