==============================================================================
==============================================================================
Fri. Sep. 18 2020                  LANDSAT 5                       Time: 19:22
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: L2                          Path / Row - 196 / 21
Reference Image: terrain_HDF.l1g

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 99.5%
Rank   2 --  0.5%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
1960213207   55.74341     11.29600    -0.06      0.06     0.08     1 
1960213214   55.73628     11.65021     0.20      0.43     0.47     1 
1960213237   55.73844      9.01640     0.06      0.11     0.12     1 
1960213238   55.73843      9.06705     0.01     -0.18     0.18     1 
1960213239   55.73839      9.11770    -0.12     -0.17     0.21     1 
1960213242   55.73815      9.26963    -0.02     -0.09     0.09     1 
1960213245   55.73772      9.42157    -0.06      0.02     0.06     1 
1960213247   55.73733      9.52285     0.07      0.10     0.12     1 
1960213276   55.72231     10.99094     0.10      0.02     0.10     1 
1960213279   55.71976     11.14271     0.03     -0.04     0.05     1 
1960213318   55.71161      9.32006    -0.13      0.23     0.27     1 
1960213321   55.71112      9.47189     0.13     -0.01     0.13     1 
1960213322   55.71092      9.52250    -0.12     -0.21     0.25     1 
1960213323   55.71069      9.57311     0.04     -0.14     0.14     1 
1960213324   55.71045      9.62372     0.04     -0.01     0.04     1 
1960213325   55.71018      9.67432    -0.05     -0.03     0.05     1 
1960213332   55.70772     10.02854     0.06     -0.02     0.06     1 
1960213355   55.69247     11.19182    -0.31      0.19     0.36     1 
1960213356   55.69155     11.24236    -0.00      0.22     0.22     1 
1960213362   55.68564     11.54559     0.05      0.24     0.25     1 
1960213381   55.68528      8.71292     0.17      0.33     0.37     1 
1960213382   55.68538      8.76349     0.25     -0.04     0.25     1 
1960213386   55.68561      8.96580    -0.20     -0.37     0.42     1 
1960213389   55.68556      9.11754     0.29      0.01     0.29     1 
1960213392   55.68532      9.26927     0.02     -0.07     0.08     1 
1960213397   55.68450      9.52215    -0.07      0.02     0.07     1 
1960213398   55.68428      9.57272    -0.11     -0.05     0.13     1 
1960213399   55.68403      9.62330    -0.03     -0.10     0.11     1 
1960213400   55.68376      9.67387    -0.04      0.11     0.11     1 
1960213404   55.68249      9.87615     0.02      0.21     0.22     1 
1960213425   55.67032     10.93773    -0.20     -0.03     0.20     1 
1960213428   55.66783     11.08930    -0.14      0.28     0.31     1 
1960213434   55.66230     11.39238     0.13      0.02     0.13     1 
1960213459   55.65912      8.86474     0.47      0.20     0.51     2 
1960213460   55.65917      8.91528    -0.18      0.09     0.20     1 
1960213467   55.65890      9.26909     0.05     -0.10     0.11     1 
1960213468   55.65878      9.31963     0.13      0.14     0.19     1 
1960213476   55.65706      9.72395    -0.02     -0.10     0.11     1 
1960213485   55.65353     10.17874     0.42      0.25     0.49     1 
1960213508   55.63688     11.34030    -0.03      0.05     0.06     1 
1960213532   55.63255      8.76381    -0.40      0.22     0.46     1 
1960213534   55.63270      8.86483     0.23      0.05     0.23     1 
1960213536   55.63277      8.96585     0.06      0.02     0.06     1 
1960213539   55.63272      9.11738    -0.09     -0.16     0.19     1 
1960213542   55.63248      9.26891     0.16      0.01     0.16     1 
1960213552   55.63034      9.77397    -0.09     -0.10     0.13     1 
1960213560   55.62712     10.17795     0.18      0.13     0.23     1 
1960213568   55.62258     10.58183     0.13      0.11     0.17     1 
1960213569   55.62192     10.63231    -0.15     -0.07     0.16     1 
1960213583   55.61048     11.33873    -0.02     -0.08     0.08     1 
1960213586   55.60750     11.49003    -0.29      0.29     0.41     1 
1960213605   55.60590      8.66302     0.13     -0.12     0.18     1 
1960213607   55.60613      8.76397     0.09     -0.21     0.23     1 
1960213613   55.60634      9.06682     0.08     -0.01     0.08     1 
1960213618   55.60594      9.31920     0.12     -0.04     0.12     1 
1960213622   55.60525      9.52110     0.06      0.00     0.06     1 
1960213628   55.60359      9.82392     0.40     -0.26     0.48     1 
1960213635   55.60071     10.17716    -0.06      0.01     0.06     1 
1960213637   55.59970     10.27807     0.00      0.04     0.04     1 
1960213644   55.59551     10.63121    -0.25     -0.02     0.25     1 
1960213660   55.58212     11.43796     0.07      0.07     0.10     1 
1960213689   55.57989      9.11722    -0.13      0.04     0.14     1 
1960213692   55.57965      9.26855     0.03     -0.20     0.20     1 
1960213701   55.57781      9.72250    -0.06     -0.01     0.07     1 
1960213702   55.57751      9.77293    -0.01      0.05     0.05     1 
1960213708   55.57523     10.07552    -0.11     -0.13     0.17     1 
1960213719   55.56911     10.63012    -0.16     -0.08     0.17     1 
1960213737   55.55368     11.53705     0.33      0.10     0.35     1 
1960213770   55.55281      9.41959    -0.01      0.05     0.05     1 
1960213776   55.55140      9.72201     0.01      0.04     0.04     1 
1960213777   55.55109      9.77241    -0.12      0.33     0.35     1 
1960213782   55.54924     10.02440     0.09     -0.01     0.09     1 
1960213785   55.54789     10.17558    -0.13     -0.25     0.28     1 
1960213792   55.54400     10.52827     0.22      0.10     0.24     1 
1960213794   55.54270     10.62902     0.06      0.00     0.06     1 
1960213803   55.53583     11.08230     0.10     -0.01     0.10     1 
1960213804   55.53496     11.13265     0.02      0.26     0.26     1 
1960213845   55.52639      9.41931     0.08     -0.07     0.11     1 
1960213848   55.52578      9.57042    -0.04     -0.13     0.14     1 
1960213851   55.52498      9.72153     0.22     -0.03     0.22     1 
1960213852   55.52468      9.77189     0.02      0.04     0.05     1 
1960213868   55.51695     10.57759    -0.07      0.09     0.11     1 
1960213869   55.51629     10.62793    -0.31     -0.09     0.32     1 
1960213872   55.51419     10.77894    -0.05      0.26     0.26     1 
1960213878   55.50943     11.08090    -0.22     -0.11     0.24     1 
1960213879   55.50857     11.13122     0.12     -0.08     0.14     1 
1960213887   55.50090     11.53365    -0.10     -0.08     0.13     1 
1960213919   55.50014      9.36869     0.15      0.16     0.22     1 
1960213921   55.49979      9.46936     0.04     -0.04     0.05     1 
1960213925   55.49885      9.67071    -0.04     -0.00     0.04     1 
1960213926   55.49857      9.72104     0.09     -0.13     0.16     1 
1960213941   55.49180     10.47591     0.13      0.19     0.23     1 
1960213943   55.49054     10.57653    -0.10     -0.12     0.16     1 
1960213946   55.48851     10.72745    -0.00     -0.01     0.01     1 
1960213953   55.48303     11.07951     0.00     -0.25     0.25     1 
1960213987   55.47427      9.01629     0.00      0.00     0.00     1 
1960213992   55.47398      9.26783    -0.07      0.06     0.09     1 
1960213996   55.47337      9.46905    -0.01     -0.10     0.10     1 
1960214001   55.47215      9.72056    -0.06     -0.04     0.07     1 
1960214016   55.46539     10.47493     0.25     -0.02     0.25     1 
1960214018   55.46413     10.57548    -0.02     -0.03     0.04     1 
1960214036   55.44914     11.48004    -0.02     -0.03     0.04     1 
1960214078   55.44510      9.82061    -0.12      0.23     0.26     1 
1960214085   55.44224     10.17244     0.11      0.29     0.31     1 
1960214090   55.43957     10.42369    -0.06      0.00     0.06     1 
1960214091   55.43898     10.47394    -0.24     -0.01     0.24     1 
1960214112   55.42172     11.52858    -0.29      0.04     0.29     1 
1960214143   55.42102      9.31771    -0.28     -0.38     0.48     1 
1960214153   55.41869      9.82006     0.00      0.26     0.26     1 
1960214164   55.41374     10.37253     0.09     -0.04     0.09     1 
1960214165   55.41316     10.42274     0.03     -0.04     0.05     1 
1960214181   55.40118     11.22589     0.13      0.46     0.48     1 
1960214234   55.38988     10.12068     0.09      0.05     0.10     1 
1960214239   55.38732     10.37161     0.00      0.02     0.02     1 
1960214240   55.38675     10.42180     0.06      0.02     0.06     1 
1960214254   55.37657     11.12411    -0.09     -0.03     0.09     1 
1960214291   55.36841      9.21694     0.05      0.00     0.05     1 
1960214298   55.36728      9.56814    -0.05      0.22     0.23     1 
1960214301   55.36649      9.71864    -0.03     -0.13     0.13     1 
1960214309   55.36347     10.11994    -0.02      0.00     0.02     1 
1960214355   55.34172      8.66527     0.18     -0.05     0.19     1 
1960214379   55.33909      9.86856     0.15      0.22     0.27     1 
1960214404   55.32377     11.12129    -0.15      0.09     0.18     1 
1960214405   55.32288     11.17137    -0.15      0.24     0.28     1 
1960214432   55.31554      8.76570     0.10     -0.04     0.11     1 
1960214453   55.31302      9.81788     0.33      0.03     0.33     1 
1960214472   55.30295     10.76947    -0.14      0.08     0.16     1 
1960214507   55.28912      8.76586     0.04     -0.09     0.10     1 
1960214525   55.28752      9.66714    -0.05     -0.02     0.06     1 
1960214526   55.28724      9.71721    -0.04     -0.13     0.14     1 
1960214527   55.28693      9.76727    -0.03      0.06     0.07     1 
1960214539   55.28168     10.36797     0.13      0.11     0.17     1 
1960214598   55.26161      9.56663     0.26     -0.36     0.45     1 
1960214601   55.26082      9.71673     0.43      0.21     0.47     1 
1960214602   55.26052      9.76676     0.01      0.10     0.10     1 
1960214604   55.25985      9.86683     0.15      0.07     0.16     1 
1960214630   55.24368     11.16705    -0.15      0.20     0.25     1 
1960214632   55.24187     11.26700    -0.05     -0.03     0.06     1 
1960214669   55.23596      9.36624    -0.09      0.12     0.15     1 
1960214671   55.23562      9.46625     0.03      0.14     0.15     1 
1960214676   55.23440      9.71626    -0.46      0.10     0.47     1 
1960214686   55.23045     10.21620    -0.12     -0.05     0.13     1 
1960214709   55.21357     11.36538    -0.14     -0.18     0.23     1 
1960214710   55.21260     11.41531    -0.21     -0.03     0.21     1 
1960214750   55.20827      9.66582     0.05     -0.09     0.11     1 
1960214761   55.20403     10.21540     0.13     -0.33     0.35     1 
1960214781   55.18999     11.21409    -0.21     -0.19     0.28     1 
1960214783   55.18814     11.31391     0.09      0.08     0.12     1 
1960214784   55.18718     11.36381     0.09      0.07     0.12     1 
1960214824   55.18211      9.61544     0.17      0.05     0.18     1 
1960214825   55.18185      9.66538    -0.05      0.17     0.18     1 
1960214832   55.17944     10.01489    -0.06     -0.05     0.08     1 
1960214833   55.17902     10.06482     0.28     -0.03     0.28     1 
1960214834   55.17857     10.11474    -0.11      0.00     0.11     1 
1960214855   55.16448     11.16275     0.19     -0.10     0.22     1 
1960214909   55.15216     10.11401     0.10     -0.03     0.10     1 
1960214912   55.15070     10.26368     0.00     -0.42     0.42     1 
1960214913   55.15017     10.31356     0.06      0.08     0.10     1 
1960214914   55.14962     10.36345     0.25      0.32     0.41     1 
1960214915   55.14905     10.41333     0.22     -0.44     0.49     1 
1960214925   55.14225     10.91205     0.33     -0.20     0.39     1 
1960214930   55.13808     11.16132    -0.11     -0.01     0.11     1 
1960214981   55.12702      9.96369     0.21     -0.24     0.32     1 
1960214982   55.12661     10.01355     0.32      0.38     0.49     1 
1960214983   55.12619     10.06341     0.04      0.05     0.06     1 
1960214984   55.12574     10.11327     0.13     -0.22     0.25     1 
1960214992   55.12145     10.51209     0.07     -0.01     0.07     1 
1960214997   55.11810     10.76129     0.04     -0.26     0.26     1 
1960215143   55.06800     10.55988    -0.05      0.05     0.07     1 
1960215144   55.06735     10.60965     0.35      0.09     0.36     1 
1960215146   55.06599     10.70920    -0.07     -0.03     0.08     1 
1960215221   55.03959     10.70808     0.12      0.04     0.13     1 
1960215224   55.03740     10.85728     0.07      0.09     0.11     1 
1960215295   55.01386     10.65725    -0.19      0.09     0.21     1 
1960215454   54.95414     11.10177    -0.19     -0.27     0.33     1 
----------------------------------------------------------------------
---------------------------------------------------
Total correlated GCPs in Upper Left Quadrant: 265

GCP statistics this quadrant only (in Pixels)
Line residual statistics:
  Mean: 0.055
  Median: 0.055
  Standard Deviation: 0.136

Sample residual statistics:
  Mean: 0.004
  Median: 0.003
  Standard Deviation: 0.141

Quadrant RMSE: 0.204

---------------------------------------------------
Total correlated GCPs in Upper Right Quadrant: 77

GCP statistics this quadrant only (in Pixels)
Line residual statistics:
  Mean: 0.074
  Median: 0.065
  Standard Deviation: 0.155

Sample residual statistics:
  Mean: 0.034
  Median: 0.005
  Standard Deviation: 0.154

Quadrant RMSE: 0.234

---------------------------------------------------
Total correlated GCPs in Lower Left Quadrant: 188

GCP statistics this quadrant only (in Pixels)
Line residual statistics:
  Mean: 0.031
  Median: 0.022
  Standard Deviation: 0.150

Sample residual statistics:
  Mean: -0.023
  Median: -0.026
  Standard Deviation: 0.134

Quadrant RMSE: 0.205

---------------------------------------------------
Total correlated GCPs in Lower Right Quadrant: 95

GCP statistics this quadrant only (in Pixels)
Line residual statistics:
  Mean: 0.009
  Median: 0.003
  Standard Deviation: 0.160

Sample residual statistics:
  Mean: 0.016
  Median: 0.002
  Standard Deviation: 0.162

Quadrant RMSE: 0.229

---------------------------------------------------
---------------------------------------------------
Total correlated GCPs in scene: 625

GCP statistics entire scene (in Pixels)
Line residual statistics:
  Mean: 0.043
  Median: 0.040
  Standard Deviation: 0.148

Sample residual statistics:
  Mean: 0.001
  Median: -0.006
  Standard Deviation: 0.145

Scene RMSE: 0.212

